Name,Price,RAM/ROM,Camera,Battery,Processor
"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)","13,999",8 GB RAM | 128 GB ROM,50MP + 8MP | 8MP Front Camera,7000 mAh Battery,6s Gen 4 Processor
"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)","13,999",8 GB RAM | 128 GB ROM,50MP + 8MP | 8MP Front Camera,7000 mAh Battery,6s Gen 4 Processor
"POCO M7 Pro 5G (Lavender Frost, 256 GB)","14,499",8 GB RAM | 256 GB ROM,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"MOTOROLA g57 power 5G (Pantone Corsair, 128 GB)","13,999",8 GB RAM | 128 GB ROM,50MP + 8MP | 8MP Front Camera,7000 mAh Battery,6s Gen 4 Processor
"realme P3x 5G (Stellar Pink, 128 GB)","11,999",6 GB RAM | 128 GB ROM,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"realme P3x 5G (Midnight Blue, 128 GB)","11,999",6 GB RAM | 128 GB ROM,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"POCO M7 Pro 5G (Lunar Dust, 128 GB)","12,499",6 GB RAM | 128 GB ROM,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"POCO M6 Plus 5G (Ice Silver, 128 GB)","10,805",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor
"POCO M7 Pro 5G (Lavender Frost, 128 GB)","12,499",6 GB RAM | 128 GB ROM,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","13,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"POCO M7 Pro 5G (Olive Twilight, 256 GB)","14,499",8 GB RAM | 256 GB ROM,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"realme C71 (Sea Blue, 128 GB)","9,699",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery,T7250 Processor
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","12,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme Narzo 80 Lite 5G (Crystal Purple, 128 GB)","10,999",6 GB RAM | 128 GB ROM,32MP Rear Camera,6000 mAh Battery,1 Year Warranty
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","13,499",6 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"MOTOROLA g35 5G (Midnight Black, 128 GB)","12,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)","14,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor
"realme P3x 5G (Lunar Silver, 128 GB)","11,999",6 GB RAM | 128 GB ROM,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)","13,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","11,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","13,999",6 GB RAM | 128 GB ROM,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)","14,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor
"MOTOROLA g35 5G (Guava Red, 128 GB)","12,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor
"realme P3x 5G (Midnight Blue, 128 GB)","12,999",8 GB RAM | 128 GB ROM,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","10,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor
"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)","10,999",6 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,1 Year Warranty
"POCO M7 Pro 5G (Olive Twilight, 128 GB)","12,499",6 GB RAM | 128 GB ROM,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor
"MOTOROLA g35 5G (Leaf Green, 128 GB)","12,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","10,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","13,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP AI Dual Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","11,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor
"POCO M6 Plus 5G (Graphite Black, 128 GB)","10,815",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor
